                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0659,                 4.2196,                 1.2861,                0.39089,                0.60008,                0.49044,                0.37585,                0.85294,                 2.6177,                 1.1545,             0.00013178,             0.00013178,             0.00013178
                      1,                0.92467,                  1.826,                 1.1271,                 0.7171,                0.71529,                0.73725,                0.58517,                0.83589,                 1.3964,                  1.134,             0.00026249,             0.00026249,             0.00026249
                      2,                0.88072,                 1.3547,                  1.095,                0.76324,                0.73788,                0.81154,                0.65687,                0.77447,                 1.1295,                 1.0854,             0.00039056,             0.00039056,             0.00039056
                      3,                0.88736,                 1.1541,                  1.099,                0.75073,                0.73205,                0.81462,                0.64039,                 0.7947,                 1.0937,                 1.0801,             0.00038812,             0.00038812,             0.00038812
                      4,                0.85122,                 1.0108,                 1.0742,                0.80455,                0.80794,                0.85924,                0.67402,                 0.8024,                 0.8836,                 1.0918,             0.00038812,             0.00038812,             0.00038812
                      5,                0.83466,                0.97852,                 1.0688,                0.89321,                0.78323,                0.87375,                0.70231,                0.78475,                0.81755,                 1.0633,             0.00038416,             0.00038416,             0.00038416
                      6,                0.82759,                0.92298,                 1.0516,                0.84184,                0.79843,                0.87181,                 0.6917,                0.79376,                0.87737,                 1.0929,              0.0003802,              0.0003802,              0.0003802
                      7,                0.80261,                0.85019,                 1.0651,                0.88479,                0.83543,                 0.9188,                0.73693,                0.73543,                0.66326,                 1.0457,             0.00037624,             0.00037624,             0.00037624
                      8,                0.81856,                0.83504,                 1.0647,                0.87415,                0.84084,                0.89877,                0.72841,                0.76676,                0.72921,                 1.0537,             0.00037228,             0.00037228,             0.00037228
                      9,                0.80124,                0.80712,                 1.0551,                 0.8576,                0.83162,                 0.8903,                0.71556,                0.76642,                0.71731,                 1.0444,             0.00036832,             0.00036832,             0.00036832
                     10,                0.79717,                0.78782,                 1.0487,                0.89559,                 0.8711,                0.93268,                0.75015,                  0.735,                0.61141,                 1.0299,             0.00036436,             0.00036436,             0.00036436
                     11,                0.78562,                0.72795,                 1.0435,                0.87574,                 0.8767,                0.91507,                0.74478,                0.73857,                0.67096,                   1.03,              0.0003604,              0.0003604,              0.0003604
                     12,                0.75523,                0.71825,                 1.0335,                0.92002,                0.85713,                0.92381,                0.75609,                0.73468,                0.59816,                 1.0414,             0.00035644,             0.00035644,             0.00035644
                     13,                0.75758,                0.68109,                 1.0369,                0.88744,                0.86986,                 0.9215,                0.76212,                 0.7113,                0.59575,                 1.0212,             0.00035248,             0.00035248,             0.00035248
                     14,                0.74715,                0.67462,                 1.0343,                0.85521,                0.88717,                0.90575,                0.74325,                 0.7325,                0.65066,                 1.0393,             0.00034852,             0.00034852,             0.00034852
                     15,                0.74672,                 0.6771,                 1.0276,                0.91459,                0.89944,                0.93292,                0.77302,                0.69325,                0.54511,                 1.0192,             0.00034456,             0.00034456,             0.00034456
                     16,                 0.7402,                0.65357,                 1.0252,                 0.8848,                0.90772,                0.91877,                0.75505,                 0.7264,                0.57577,                 1.0283,              0.0003406,              0.0003406,              0.0003406
                     17,                0.71843,                 0.6496,                  1.017,                0.92378,                0.89468,                0.93517,                 0.7782,                0.70044,                0.54528,                 1.0138,             0.00033664,             0.00033664,             0.00033664
                     18,                0.73364,                0.64612,                 1.0253,                0.92039,                 0.8934,                0.93083,                 0.7611,                0.70184,                 0.5561,                 1.0086,             0.00033268,             0.00033268,             0.00033268
                     19,                 0.7187,                0.60302,                 1.0076,                0.90977,                0.90597,                0.92876,                 0.7709,                0.70682,                0.55882,                   1.01,             0.00032872,             0.00032872,             0.00032872
                     20,                0.70681,                0.61108,                 1.0014,                0.90571,                0.91769,                0.94112,                0.77029,                 0.7068,                0.54839,                 1.0201,             0.00032476,             0.00032476,             0.00032476
                     21,                0.72039,                0.63365,                 1.0209,                0.90362,                0.90964,                0.93916,                 0.7804,                0.70107,                0.51308,                 1.0063,              0.0003208,              0.0003208,              0.0003208
                     22,                0.70563,                0.57281,                 1.0109,                0.93352,                0.90758,                0.95467,                0.79023,                0.67409,                0.48639,                0.99601,             0.00031684,             0.00031684,             0.00031684
                     23,                0.69681,                0.60196,                 1.0104,                0.90117,                0.88811,                0.93353,                0.77514,                0.69296,                0.58205,                0.99955,             0.00031288,             0.00031288,             0.00031288
                     24,                0.68544,                0.56821,                 0.9977,                0.92647,                0.90646,                0.94576,                0.78662,                0.68222,                0.50876,                 1.0005,             0.00030892,             0.00030892,             0.00030892
                     25,                0.70095,                0.57301,                 1.0028,                0.92657,                0.89522,                 0.9374,                0.77118,                0.69765,                 0.5072,                 1.0154,             0.00030496,             0.00030496,             0.00030496
                     26,                0.67341,                0.55096,                0.99562,                0.91595,                0.89013,                0.94973,                0.78513,                0.67641,                0.51202,                0.99615,               0.000301,               0.000301,               0.000301
                     27,                0.67656,                0.53256,                0.99686,                0.93117,                0.89533,                0.94791,                 0.7864,                0.68714,                0.50088,                0.99564,             0.00029704,             0.00029704,             0.00029704
                     28,                 0.6589,                0.56287,                0.99183,                0.92366,                0.92585,                0.95387,                0.79087,                0.68483,                0.50645,                 1.0011,             0.00029308,             0.00029308,             0.00029308
                     29,                0.66934,                0.54204,                0.99533,                0.91724,                0.90437,                0.93746,                0.77293,                0.68353,                0.51869,                0.99231,             0.00028912,             0.00028912,             0.00028912
                     30,                0.66656,                0.52516,                0.98394,                0.94232,                0.89705,                0.94801,                0.78951,                0.66418,                0.47619,                0.97789,             0.00028516,             0.00028516,             0.00028516
                     31,                0.66126,                 0.5317,                 0.9869,                 0.9413,                 0.9244,                0.95609,                0.78677,                0.71199,                0.46711,                 1.0021,              0.0002812,              0.0002812,              0.0002812
                     32,                0.65765,                0.51081,                0.97954,                0.94454,                0.92039,                0.95302,                0.79589,                0.67876,                0.47677,                0.98649,             0.00027724,             0.00027724,             0.00027724
                     33,                0.63894,                0.50594,                 0.9792,                0.94163,                0.90825,                0.94921,                0.79368,                0.67617,                0.47422,                0.98862,             0.00027328,             0.00027328,             0.00027328
                     34,                0.65658,                0.51194,                0.98199,                0.90402,                0.91621,                0.94343,                0.77702,                0.69329,                0.50532,                 1.0053,             0.00026932,             0.00026932,             0.00026932
                     35,                0.63748,                0.49764,                0.97248,                0.93416,                0.89897,                0.94379,                0.78246,                0.71198,                0.50983,                 1.0105,             0.00026536,             0.00026536,             0.00026536
                     36,                0.63258,                0.48313,                0.97787,                0.92498,                 0.8992,                0.94002,                0.77914,                0.70176,                0.49828,                 1.0083,              0.0002614,              0.0002614,              0.0002614
                     37,                0.62582,                0.48033,                0.96775,                0.93556,                0.91662,                0.94728,                  0.789,                0.68307,                0.45801,                 1.0033,             0.00025744,             0.00025744,             0.00025744
                     38,                0.61505,                0.46077,                0.96017,                0.92262,                0.93118,                0.95192,                0.79588,                0.69584,                0.46886,                 1.0074,             0.00025348,             0.00025348,             0.00025348
                     39,                0.61641,                 0.4565,                0.95834,                0.91769,                0.92079,                0.95168,                0.79709,                0.67664,                0.46942,                0.99292,             0.00024952,             0.00024952,             0.00024952
                     40,                0.60513,                0.47559,                0.96741,                0.95119,                0.91041,                0.95482,                0.80749,                0.67546,                0.41118,                0.98694,             0.00024556,             0.00024556,             0.00024556
                     41,                0.61996,                 0.4671,                0.96687,                0.93135,                0.91288,                 0.9425,                0.78948,                0.67623,                0.49132,                 0.9947,              0.0002416,              0.0002416,              0.0002416
                     42,                0.60584,                0.44831,                0.96251,                0.93477,                0.91174,                0.95493,                0.79915,                0.68752,                0.44257,                0.99761,             0.00023764,             0.00023764,             0.00023764
                     43,                0.60789,                0.45986,                0.95839,                0.92739,                0.91927,                0.95093,                0.79632,                0.68235,                0.44426,                0.98853,             0.00023368,             0.00023368,             0.00023368
                     44,                 0.5932,                0.45791,                0.95785,                0.90626,                0.88742,                0.93699,                 0.7886,                0.67948,                0.48459,                0.99374,             0.00022972,             0.00022972,             0.00022972
                     45,                0.58924,                0.45325,                0.96119,                0.92995,                0.91373,                0.95576,                0.80027,                0.67288,                0.45218,                0.98813,             0.00022576,             0.00022576,             0.00022576
                     46,                0.58965,                0.42571,                0.95772,                0.93355,                0.91554,                0.94954,                0.79805,                0.67317,                0.43869,                0.98117,              0.0002218,              0.0002218,              0.0002218
                     47,                0.57614,                 0.4433,                0.96016,                0.91278,                0.93029,                0.95405,                 0.8022,                0.67248,                0.42207,                0.98745,             0.00021784,             0.00021784,             0.00021784
                     48,                 0.5677,                0.43776,                0.94788,                0.91182,                0.93957,                0.95649,                0.80116,                 0.6754,                0.41402,                 0.9916,             0.00021388,             0.00021388,             0.00021388
                     49,                0.56522,                0.40946,                0.95113,                0.91943,                0.92044,                0.96429,                0.80624,                0.66986,                0.41875,                0.97731,             0.00020992,             0.00020992,             0.00020992
                     50,                0.56976,                0.42547,                0.95396,                0.93616,                0.92009,                0.94428,                0.78832,                0.68834,                0.45801,                 1.0026,             0.00020596,             0.00020596,             0.00020596
                     51,                0.56519,                0.43073,                0.94864,                0.94255,                0.92414,                0.95463,                0.80193,                0.66618,                0.42211,                0.98777,               0.000202,               0.000202,               0.000202
                     52,                0.55498,                0.40548,                0.94307,                0.90201,                0.91363,                0.94381,                0.79964,                0.66546,                0.45273,                0.98267,             0.00019804,             0.00019804,             0.00019804
                     53,                0.56357,                  0.421,                0.95468,                 0.9309,                0.92919,                0.95012,                0.79255,                0.67416,                0.45002,                0.98618,             0.00019408,             0.00019408,             0.00019408
                     54,                0.55092,                0.40777,                0.93922,                0.92187,                0.92841,                0.96593,                0.80424,                0.67361,                0.40481,                0.99289,             0.00019012,             0.00019012,             0.00019012
                     55,                0.55791,                0.40205,                0.95183,                0.93175,                0.93357,                0.95545,                0.80639,                0.67712,                0.41636,                0.99302,             0.00018616,             0.00018616,             0.00018616
                     56,                0.54247,                 0.4028,                0.94625,                0.94197,                0.91812,                0.95492,                0.80465,                 0.6685,                0.43713,                0.98373,              0.0001822,              0.0001822,              0.0001822
                     57,                 0.5365,                0.39017,                0.93961,                0.94634,                0.93189,                  0.956,                0.80654,                0.67105,                0.42002,                0.98207,             0.00017824,             0.00017824,             0.00017824
                     58,                0.52468,                0.37779,                0.93543,                0.94148,                 0.9388,                0.96146,                0.81092,                0.67798,                0.40634,                0.99098,             0.00017428,             0.00017428,             0.00017428
                     59,                0.53481,                0.39122,                0.94722,                0.93298,                 0.9327,                0.95815,                0.80598,                0.67039,                0.43044,                 0.9872,             0.00017032,             0.00017032,             0.00017032
                     60,                0.54274,                0.39344,                0.93797,                0.92613,                0.92465,                0.94752,                 0.7922,                0.66879,                0.42896,                0.98225,             0.00016636,             0.00016636,             0.00016636
                     61,                0.53737,                0.38219,                0.94376,                0.92585,                0.93589,                0.94972,                0.79057,                0.69694,                0.42119,                 1.0052,              0.0001624,              0.0001624,              0.0001624
                     62,                0.52574,                0.38432,                0.93781,                0.94914,                0.93544,                0.95838,                0.80145,                0.68024,                0.40855,                 1.0074,             0.00015844,             0.00015844,             0.00015844
                     63,                0.53392,                 0.3894,                 0.9391,                0.91747,                0.93236,                0.94905,                0.80445,                0.65279,                0.41873,                0.98353,             0.00015448,             0.00015448,             0.00015448
                     64,                0.52475,                0.37778,                0.93521,                0.93151,                 0.9205,                0.94947,                 0.7969,                0.66254,                 0.4245,                0.98377,             0.00015052,             0.00015052,             0.00015052
                     65,                0.51683,                0.36953,                 0.9307,                0.93025,                0.92691,                 0.9571,                0.80154,                0.67215,                0.39981,                 0.9925,             0.00014656,             0.00014656,             0.00014656
                     66,                0.51424,                0.36326,                 0.9291,                0.94561,                 0.9289,                0.96173,                0.81626,                0.65656,                 0.4026,                0.97648,              0.0001426,              0.0001426,              0.0001426
                     67,                0.49732,                0.36167,                0.92424,                0.93126,                0.93167,                0.96286,                0.81679,                0.65378,                0.41293,                0.97957,             0.00013864,             0.00013864,             0.00013864
                     68,                0.50137,                0.36865,                0.92883,                0.94589,                0.92588,                0.95919,                0.80906,                 0.6742,                0.40758,                0.99237,             0.00013468,             0.00013468,             0.00013468
                     69,                0.51288,                0.36199,                0.92883,                0.93222,                0.94168,                0.96368,                0.80502,                0.67481,                0.39815,                0.99661,             0.00013072,             0.00013072,             0.00013072
                     70,                0.49984,                0.35961,                0.92329,                0.92988,                0.93682,                0.95445,                0.80402,                0.67414,                0.42834,                0.98843,             0.00012676,             0.00012676,             0.00012676
                     71,                0.49854,                0.35819,                0.93025,                0.93279,                0.93143,                0.95105,                0.80483,                0.66714,                0.42495,                0.98101,              0.0001228,              0.0001228,              0.0001228
                     72,                0.48852,                0.35403,                0.91914,                0.93763,                0.93915,                0.95176,                0.80589,                0.66793,                0.42866,                0.99218,             0.00011884,             0.00011884,             0.00011884
                     73,                0.47801,                0.34022,                0.92102,                0.95561,                0.93078,                0.95389,                0.80099,                0.68521,                0.42548,                0.99985,             0.00011488,             0.00011488,             0.00011488
                     74,                0.48417,                0.33252,                0.92291,                0.92742,                0.94271,                0.96223,                0.80752,                0.67083,                0.42015,                0.98948,             0.00011092,             0.00011092,             0.00011092
                     75,                 0.4754,                0.33554,                0.91868,                0.93339,                0.94363,                0.95774,                0.81076,                0.66566,                0.40839,                0.99175,             0.00010696,             0.00010696,             0.00010696
                     76,                0.48214,                 0.3427,                0.92378,                0.93452,                0.94082,                0.96107,                 0.8118,                0.67249,                0.41219,                0.98955,               0.000103,               0.000103,               0.000103
                     77,                0.46283,                0.33178,                0.91295,                0.94093,                0.93019,                0.95751,                0.80979,                0.66345,                0.40661,                0.98943,              9.904e-05,              9.904e-05,              9.904e-05
                     78,                0.47098,                 0.3241,                0.91493,                0.95139,                 0.9247,                0.96064,                0.81388,                0.66083,                0.40731,                0.98866,              9.508e-05,              9.508e-05,              9.508e-05
                     79,                0.47561,                0.33953,                0.91692,                0.93796,                0.93991,                0.95699,                0.80999,                0.66677,                0.40765,                0.99474,              9.112e-05,              9.112e-05,              9.112e-05
                     80,                0.46615,                 0.3357,                0.91647,                0.94762,                0.93442,                0.96386,                0.81473,                0.66324,                0.39794,                 0.9877,              8.716e-05,              8.716e-05,              8.716e-05
                     81,                0.45616,                0.31534,                0.90946,                0.95346,                0.93525,                0.96166,                0.81135,                 0.6599,                0.39268,                0.98559,               8.32e-05,               8.32e-05,               8.32e-05
                     82,                0.44553,                0.31457,                0.90351,                0.95251,                0.93685,                0.96352,                0.81073,                 0.6697,                0.40409,                0.99129,              7.924e-05,              7.924e-05,              7.924e-05
                     83,                0.44596,                0.31089,                0.91247,                0.94946,                0.93987,                0.96044,                0.81287,                0.66981,                0.40287,                0.99019,              7.528e-05,              7.528e-05,              7.528e-05
                     84,                0.45067,                0.30842,                0.91055,                 0.9598,                0.93645,                0.96707,                0.81834,                0.66918,                0.37898,                0.99385,              7.132e-05,              7.132e-05,              7.132e-05
                     85,                0.45554,                0.31796,                0.90648,                0.95707,                0.94989,                0.97041,                0.82185,                0.66747,                 0.3766,                0.99404,              6.736e-05,              6.736e-05,              6.736e-05
                     86,                0.45258,                0.31458,                0.90688,                0.95593,                 0.9327,                0.96414,                0.81906,                0.66764,                0.39001,                0.99577,               6.34e-05,               6.34e-05,               6.34e-05
                     87,                0.43723,                0.30989,                0.90191,                0.95051,                0.93815,                0.96273,                0.81624,                 0.6681,                0.38869,                0.99781,              5.944e-05,              5.944e-05,              5.944e-05
                     88,                0.44161,                 0.3192,                0.91161,                0.95524,                0.95682,                0.96744,                0.82085,                0.66613,                 0.3774,                0.99476,              5.548e-05,              5.548e-05,              5.548e-05
                     89,                0.43529,                0.31243,                0.91483,                0.94271,                0.94336,                  0.965,                0.81983,                0.66362,                0.38267,                0.99626,              5.152e-05,              5.152e-05,              5.152e-05
