                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.8037,                 4.3054,                 1.3864,                0.27516,                0.18417,                0.10067,                0.08856,                 0.6186,                 3.1101,                 1.1624,             3.9476e-05,             3.9476e-05,             3.9476e-05
                      1,                0.57644,                 2.6646,                 1.1856,                0.40448,                  0.391,                  0.376,                 0.3348,                0.55747,                 2.2907,                 1.1024,             7.8359e-05,             7.8359e-05,             7.8359e-05
                      2,                0.53493,                 2.0001,                 1.1499,                0.57892,                0.52688,                 0.5998,                0.53908,                0.51778,                 1.6289,                 1.0471,             0.00011646,             0.00011646,             0.00011646
                      3,                0.50956,                 1.6034,                 1.1233,                0.50019,                0.71857,                0.68116,                 0.6106,                0.52734,                 1.3205,                 1.0317,             0.00011547,             0.00011547,             0.00011547
                      4,                0.48663,                 1.3814,                 1.1063,                0.69282,                0.69749,                 0.7588,                0.68391,                0.48444,                 1.1217,                0.99014,             0.00011547,             0.00011547,             0.00011547
                      5,                0.46863,                 1.2814,                 1.0967,                0.59336,                0.80049,                0.77305,                0.70026,                0.49741,                  1.145,                 1.0202,             0.00011429,             0.00011429,             0.00011429
                      6,                0.45809,                 1.1803,                 1.0917,                0.61452,                 0.7986,                0.78171,                 0.7115,                0.45919,                 1.0079,                0.96521,             0.00011311,             0.00011311,             0.00011311
                      7,                0.43784,                 1.0954,                 1.0786,                0.61995,                0.82734,                0.80275,                0.72166,                0.47866,                 1.0037,                0.96832,             0.00011193,             0.00011193,             0.00011193
                      8,                0.44202,                 1.0679,                 1.0731,                0.65403,                0.81987,                0.79005,                0.71932,                0.45855,                0.97071,                0.96706,             0.00011075,             0.00011075,             0.00011075
                      9,                0.42528,                 1.0263,                 1.0659,                0.72355,                0.77505,                0.83014,                0.75971,                0.45634,                 0.8843,                0.95911,             0.00010958,             0.00010958,             0.00010958
                     10,                0.41052,                0.96864,                 1.0531,                0.71732,                0.81248,                0.83187,                0.76179,                0.43361,                0.80698,                0.93593,              0.0001084,              0.0001084,              0.0001084
                     11,                0.40945,                0.94196,                 1.0537,                0.66065,                0.83463,                0.82525,                0.76411,                0.42587,                0.86473,                0.92464,             0.00010722,             0.00010722,             0.00010722
                     12,                0.40916,                0.91602,                 1.0557,                0.69493,                0.87445,                0.85499,                0.79725,                0.41025,                 0.7741,                 0.9139,             0.00010604,             0.00010604,             0.00010604
                     13,                0.40752,                0.89709,                 1.0479,                0.75109,                 0.7778,                0.83164,                0.77268,                0.41814,                0.84029,                0.91554,             0.00010486,             0.00010486,             0.00010486
                     14,                0.39356,                0.85798,                 1.0454,                 0.7081,                0.76526,                 0.8145,                0.74863,                0.43476,                0.89649,                0.92594,             0.00010368,             0.00010368,             0.00010368
                     15,                0.39493,                0.86202,                 1.0406,                0.71744,                0.80464,                0.85526,                0.79548,                0.41434,                0.79775,                0.90994,             0.00010251,             0.00010251,             0.00010251
                     16,                0.37951,                0.82211,                 1.0326,                 0.7635,                0.80261,                0.85998,                0.79678,                0.41204,                0.79015,                0.92038,             0.00010133,             0.00010133,             0.00010133
                     17,                0.37941,                0.80086,                 1.0316,                0.71846,                0.82963,                0.84367,                 0.7862,                0.40549,                0.83394,                0.91495,             0.00010015,             0.00010015,             0.00010015
                     18,                 0.3802,                0.80084,                  1.029,                0.71118,                0.79633,                0.82422,                0.76545,                0.42018,                0.90404,                0.92403,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                0.37138,                0.78916,                 1.0301,                0.69995,                 0.7998,                0.81998,                0.76531,                0.41008,                0.90532,                0.89622,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                0.36967,                0.79133,                 1.0281,                0.72442,                0.78239,                0.82422,                0.77514,                0.39004,                0.92948,                0.89072,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                0.37057,                 0.7695,                 1.0257,                0.73005,                0.80893,                0.83979,                0.77883,                0.40452,                0.85723,                 0.9081,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                0.36817,                0.75649,                 1.0277,                0.78074,                0.77247,                0.85252,                0.79717,                0.39969,                0.80413,                0.90166,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                0.35394,                0.73254,                 1.0154,                0.76954,                0.80733,                 0.8534,                0.79314,                0.41377,                0.88438,                0.91481,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.35292,                0.72969,                 1.0145,                0.71531,                 0.8382,                0.84966,                0.78968,                0.38815,                0.85085,                0.87077,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                0.34804,                 0.7249,                 1.0167,                 0.8005,                 0.7907,                0.85024,                0.78895,                0.39773,                0.81532,                 0.8892,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                0.34557,                 0.7077,                 1.0098,                0.75194,                0.82225,                0.85027,                0.78718,                0.40409,                0.85339,                0.89747,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                0.34472,                0.69893,                 1.0105,                0.77644,                0.80916,                 0.8562,                0.79374,                 0.3977,                0.81186,                0.89112,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                0.35011,                0.70629,                 1.0156,                0.77598,                0.78028,                0.85415,                0.79736,                0.39552,                0.82986,                 0.8898,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                0.34349,                 0.6747,                 1.0086,                0.70945,                0.82072,                0.82941,                0.77088,                0.40292,                0.95872,                0.89302,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                0.32875,                0.67092,                 1.0029,                0.75245,                0.81679,                 0.8417,                0.78386,                0.41429,                0.86362,                 0.9149,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     31,                0.32744,                0.64767,                 1.0028,                0.74561,                0.81551,                0.84196,                0.79024,                0.39344,                0.86647,                0.89258,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     32,                0.33022,                0.66153,                 1.0042,                0.78656,                 0.7679,                0.83443,                 0.7774,                0.38353,                0.89729,                0.87817,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                 0.3266,                  0.637,                0.99925,                0.77509,                 0.7849,                0.83251,                0.77739,                 0.3856,                0.90609,                0.88016,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                0.31929,                0.64116,                0.99552,                0.72336,                0.81389,                0.83979,                0.78644,                0.37514,                 0.8596,                0.87388,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.32267,                0.63227,                 0.9944,                0.76952,                0.81047,                0.84207,                0.78786,                0.38414,                0.85832,                0.88485,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.32012,                0.61915,                0.99738,                0.73213,                0.79657,                0.84119,                0.78665,                  0.398,                0.85892,                0.89194,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                 0.3241,                0.62715,                 1.0003,                0.73119,                0.79728,                0.82566,                0.76539,                0.38034,                0.94125,                0.88052,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.31355,                0.62267,                0.98666,                0.72289,                0.79506,                0.82134,                0.76923,                0.38407,                0.96941,                0.87583,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                 0.3178,                0.60989,                0.99465,                0.81566,                0.76295,                0.85009,                0.78774,                0.39748,                0.84781,                0.90143,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.31609,                0.60213,                0.99412,                0.78225,                0.78443,                0.84143,                0.78858,                0.38504,                0.88016,                  0.879,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                 0.3079,                0.59845,                0.98935,                0.75963,                0.81588,                0.85424,                 0.7986,                 0.3742,                0.85903,                0.86603,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.30801,                0.57821,                0.98612,                0.77176,                0.80475,                0.84076,                0.78808,                0.36711,                0.89398,                0.85923,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.30237,                0.57735,                 0.9862,                0.78686,                0.76187,                0.84446,                0.78586,                0.38114,                0.91245,                0.87934,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                0.30307,                0.57292,                0.98496,                0.74124,                0.79773,                0.84662,                0.79304,                0.39379,                0.90721,                0.88986,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.30117,                0.57781,                 0.9848,                0.77557,                0.79065,                0.82782,                0.77328,                0.38186,                0.93867,                0.87684,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.30226,                0.56302,                0.98604,                0.76946,                0.78189,                0.84843,                0.78594,                0.40146,                0.91575,                0.90972,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                0.29892,                0.55916,                0.98325,                0.76551,                0.78004,                0.85069,                0.79674,                0.38492,                0.86887,                0.88557,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                0.29421,                0.56059,                0.98065,                0.74437,                0.77834,                 0.8403,                0.78626,                0.38259,                0.93703,                0.87447,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                 0.2997,                0.54824,                0.98621,                0.79508,                0.76865,                0.83907,                0.78788,                0.37255,                0.86039,                0.86861,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.29093,                0.55043,                0.97603,                0.75974,                0.76466,                0.83277,                0.78001,                0.38337,                0.92482,                0.88506,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.29152,                0.53104,                0.97915,                0.80988,                0.75311,                0.83168,                 0.7719,                0.38385,                0.94374,                0.88416,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                 0.2907,                0.51934,                0.97903,                0.73083,                  0.813,                0.83566,                0.78169,                0.37361,                0.88568,                0.87209,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                0.28683,                0.53159,                 0.9797,                0.76461,                0.78271,                0.82856,                0.77418,                0.38072,                 0.9392,                0.87372,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                0.29027,                0.53961,                0.98259,                0.72552,                0.82157,                0.83015,                0.77586,                0.38131,                0.93851,                0.88214,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                0.28236,                0.51683,                 0.9731,                0.72689,                0.80911,                0.83446,                0.77667,                0.38247,                0.90717,                0.87748,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.27356,                0.50744,                0.96638,                0.75351,                 0.7868,                0.83972,                0.78169,                0.38774,                0.92186,                0.88145,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                0.27696,                0.50623,                0.96883,                0.78355,                0.78168,                0.82992,                0.77457,                0.37814,                0.96981,                0.87635,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                0.28422,                0.50725,                0.97306,                0.74763,                0.82122,                0.83513,                0.78723,                0.37141,                0.94139,                0.87165,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.28287,                0.49819,                0.96969,                0.76677,                0.76293,                0.82611,                 0.7696,                0.37408,                 1.0043,                0.87269,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                0.27593,                0.50314,                0.97282,                0.76941,                0.80596,                0.83509,                0.78172,                0.37051,                0.93764,                0.87649,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.27008,                0.47899,                0.96839,                0.72561,                0.79795,                0.82436,                0.77298,                0.36123,                0.94016,                0.86468,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.27592,                 0.4943,                0.97368,                0.71106,                0.79371,                0.82073,                0.76635,                0.37586,                0.95483,                0.87065,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.27923,                0.48202,                0.97241,                0.72371,                0.78809,                0.82679,                0.77496,                0.37901,                0.98548,                0.88655,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.27293,                0.48459,                0.96874,                0.78357,                0.76779,                0.82431,                0.76802,                0.38012,                0.96412,                0.87917,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                0.26735,                0.48209,                0.96803,                0.72055,                 0.8234,                0.82195,                 0.7718,                 0.3782,                0.97439,                 0.8744,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                0.27055,                0.48172,                0.96923,                0.74554,                 0.7824,                0.82518,                0.77309,                0.37313,                0.99305,                 0.8698,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.26703,                0.48133,                0.96206,                0.72379,                0.81244,                0.81088,                0.75996,                0.37576,                0.98809,                0.87303,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                0.26348,                0.46067,                0.96728,                0.75203,                0.78464,                0.83032,                0.77364,                0.37508,                  0.986,                 0.8777,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                0.26709,                0.46939,                0.96378,                0.77335,                0.76796,                0.82005,                0.76986,                0.36413,                 1.0327,                0.85661,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                0.26357,                0.46536,                0.96415,                0.74284,                0.80168,                0.81719,                0.76751,                0.37044,                0.94178,                0.87372,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.25932,                0.46213,                0.95838,                0.78446,                0.77925,                0.82522,                0.77349,                0.37023,                0.99799,                0.86739,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.26517,                0.45518,                 0.9632,                0.79387,                0.77886,                0.81809,                0.76923,                0.37245,                 0.9802,                0.86546,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.26205,                0.44817,                0.96282,                0.75216,                0.76746,                0.81571,                0.76558,                0.37174,                 1.0354,                0.86712,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.25442,                0.45656,                0.95852,                 0.7473,                0.81163,                0.82139,                0.77281,                0.37379,                0.99959,                0.87434,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.26137,                0.43175,                0.96025,                0.77961,                0.79368,                0.82543,                0.77239,                  0.383,                0.96647,                0.88561,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.25376,                0.44583,                0.95946,                0.75483,                0.80624,                0.82315,                0.76846,                0.38046,                0.95725,                0.88243,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.25071,                0.43544,                 0.9549,                0.76047,                0.78017,                0.83909,                0.78462,                0.38412,                0.95317,                0.89109,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                0.25547,                0.43846,                0.95834,                0.73439,                0.81432,                0.82281,                0.76819,                0.37518,                0.97298,                0.87692,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.24827,                0.42138,                 0.9519,                0.79598,                0.76192,                0.82527,                0.77454,                0.37457,                0.94954,                0.87476,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.25229,                0.43335,                0.95917,                0.78177,                0.76487,                0.82745,                0.77835,                0.38122,                0.96972,                0.88027,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.24576,                0.42545,                 0.9569,                0.77829,                0.76538,                0.82827,                0.77739,                0.37498,                0.93754,                0.87023,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                0.24553,                 0.4189,                0.95439,                0.72935,                0.80692,                 0.8227,                0.77452,                0.37241,                0.98637,                0.86802,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.25136,                0.41886,                0.95585,                0.73223,                0.80229,                0.81639,                0.76686,                0.36719,                0.98226,                0.86316,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                0.24503,                0.40912,                0.94996,                0.73741,                0.79022,                0.82068,                0.77306,                0.36411,                0.97404,                0.86537,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.24021,                0.39121,                0.94961,                0.77806,                0.77623,                0.82101,                 0.7736,                0.37589,                0.95527,                0.87667,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.24362,                0.40015,                0.94842,                0.74531,                0.79177,                0.81515,                0.76555,                0.37618,                0.95505,                0.87784,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                0.24273,                0.40602,                0.95211,                0.74286,                 0.7956,                0.81794,                0.76528,                0.37283,                0.96899,                0.87271,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                0.24055,                0.40279,                 0.9529,                0.71159,                0.81874,                0.81484,                0.76603,                0.37509,                0.98065,                0.87663,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.23503,                 0.3845,                0.94536,                0.74643,                0.80019,                0.82018,                0.77205,                0.37153,                 0.9618,                0.87224,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.18178,                 0.1651,                0.92645,                 0.7689,                0.75663,                 0.8172,                0.76888,                 0.3698,                 1.0402,                0.86876,             1.4149e-05,             1.4149e-05,             1.4149e-05
